section,subsection,label,field_key,field_type,finding_code,default_bucket
SECTION 2 | Supply & Distribution – Visual Inspection (Mandatory),Photo Record Requirements,Overall switchboard,s_2__photo_record_requirements__overall_switchboard,boolean,OVERALL_SWITCHBOARD,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.5 Laundry,Outlet height above finished floor: ____ mm,s_3__3_5_laundry__outlet_height_above_finished_floor_mm,number_or_text,OUTLET_HEIGHT_ABOVE_FINISHED_FLOOR_MM,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.5 Laundry,Water tap present within ____ mm of outlet,s_3__3_5_laundry__water_tap_present_within_mm_of_outlet,number_or_text,WATER_TAP_PRESENT_WITHIN_MM_OF_OUTLET,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.5 Laundry,Extension lead connected at time of inspection,s_3__3_5_laundry__extension_lead_connected_at_time_of_inspection,boolean,EXTENSION_LEAD_CONNECTED_AT_TIME_OF_INSPECTION,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.5 Laundry,Unable to confirm,s_3__3_5_laundry__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Roof space accessed,s_3__3_6_roof_space_ceiling__roof_space_accessed,boolean,ROOF_SPACE_ACCESSED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Cable support method observed: clips / resting / buried,s_3__3_6_roof_space_ceiling__cable_support_method_observed_clips_resting_buried,boolean,CABLE_SUPPORT_METHOD_OBSERVED_CLIPS_RESTING_BURIED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Insulation contact observed,s_3__3_6_roof_space_ceiling__insulation_contact_observed,boolean,INSULATION_CONTACT_OBSERVED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Cable with non‑modern (non‑PVC) insulation observed (photograph),s_3__3_6_roof_space_ceiling__cable_with_non_modern_insulation_observed,boolean,CABLE_WITH_NON_MODERN_INSULATION_OBSERVED,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Taped connection (non‑box) visible (photograph),s_3__3_6_roof_space_ceiling__taped_connection_visible,boolean,TAPED_CONNECTION_VISIBLE,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Transformer present,s_3__3_6_roof_space_ceiling__transformer_present,boolean,TRANSFORMER_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Transformer resting on insulation,s_3__3_6_roof_space_ceiling__transformer_resting_on_insulation,boolean,TRANSFORMER_RESTING_ON_INSULATION,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.6 Roof Space / Ceiling,Not accessed (reason recorded),s_3__3_6_roof_space_ceiling__not_accessed,boolean,NOT_ACCESSED,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Outdoor power point present,s_3__3_7_exterior_garage__outdoor_power_point_present,boolean,OUTDOOR_POWER_POINT_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Weatherproof cover present,s_3__3_7_exterior_garage__weatherproof_cover_present,boolean,WEATHERPROOF_COVER_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Cover broken or missing,s_3__3_7_exterior_garage__cover_broken_or_missing,boolean,COVER_BROKEN_OR_MISSING,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Exterior light present,s_3__3_7_exterior_garage__exterior_light_present,boolean,EXTERIOR_LIGHT_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Garage door opener present,s_3__3_7_exterior_garage__garage_door_opener_present,boolean,GARAGE_DOOR_OPENER_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Flexible lead fixed in place with clips/screws,s_3__3_7_exterior_garage__flexible_lead_fixed_in_place_with_clips_screws,boolean,FLEXIBLE_LEAD_FIXED_IN_PLACE_WITH_CLIPS_SCREWS,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.7 Exterior & Garage,Unable to confirm,s_3__3_7_exterior_garage__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Smoke alarm present,s_3__3_8_smoke_alarms__smoke_alarm_present,boolean,SMOKE_ALARM_PRESENT,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Location photographed,s_3__3_8_smoke_alarms__location_photographed,boolean,LOCATION_PHOTOGRAPHED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Type observed: photoelectric / ionisation / unknown,s_3__3_8_smoke_alarms__type_observed_photoelectric_ionisation_unknown,boolean,TYPE_OBSERVED_PHOTOELECTRIC_IONISATION_UNKNOWN,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Unit tested as interconnected (pressing test button on one activates others),s_3__3_8_smoke_alarms__unit_tested_as_interconnected,boolean,UNIT_TESTED_AS_INTERCONNECTED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Test button pressed,s_3__3_8_smoke_alarms__test_button_pressed,boolean,TEST_BUTTON_PRESSED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Alarm sounded,s_3__3_8_smoke_alarms__alarm_sounded,boolean,ALARM_SOUNDED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Manufacture date recorded: ____,s_3__3_8_smoke_alarms__manufacture_date_recorded,number_or_text,MANUFACTURE_DATE_RECORDED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Power source observed: mains / battery / both,s_3__3_8_smoke_alarms__power_source_observed_mains_battery_both,boolean,POWER_SOURCE_OBSERVED_MAINS_BATTERY_BOTH,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.8 Smoke Alarms,Unable to confirm,s_3__3_8_smoke_alarms__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Ceramic fuse holder visible,s_3__3_9_general_observations__ceramic_fuse_holder_visible,boolean,CERAMIC_FUSE_HOLDER_VISIBLE,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Bakelite or ceramic accessory visible,s_3__3_9_general_observations__bakelite_or_ceramic_accessory_visible,boolean,BAKELITE_OR_CERAMIC_ACCESSORY_VISIBLE,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Non‑standard wiring or added component observed (photograph),s_3__3_9_general_observations__non_standard_wiring_or_added_component_observed,boolean,NON_STANDARD_WIRING_OR_ADDED_COMPONENT_OBSERVED,RECOMMENDED
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Number of power boards observed: ____,s_3__3_9_general_observations__number_of_power_boards_observed,number_or_text,NUMBER_OF_POWER_BOARDS_OBSERVED,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Cable damage visible,s_3__3_9_general_observations__cable_damage_visible,boolean,CABLE_DAMAGE_VISIBLE,PLAN_MONITOR
SECTION 3 | Internal Installation – Visual Inspection (Mandatory),3.9 General Observations,Unable to confirm,s_3__3_9_general_observations__unable_to_confirm,boolean,UNABLE_TO_CONFIRM,LIMITATION
"SECTION 6 | Exceptions, Client Statements & Completion",,All checklist items completed,s_6__general__all_checklist_items_completed,boolean,ALL_CHECKLIST_ITEMS_COMPLETED,PLAN_MONITOR
"SECTION 6 | Exceptions, Client Statements & Completion",,All required photos uploaded,s_6__general__all_required_photos_uploaded,boolean,ALL_REQUIRED_PHOTOS_UPLOADED,PLAN_MONITOR
"SECTION 6 | Exceptions, Client Statements & Completion",,No advice or quotations provided,s_6__general__no_advice_or_quotations_provided,boolean,NO_ADVICE_OR_QUOTATIONS_PROVIDED,RECOMMENDED
